filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Zephyr v1.12.0/doc/conf.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",81,[81],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Zephyr v1.12.0/scripts/check_host_is_ok.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,10,[10],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Zephyr v1.12.0/scripts/ci/check-compliance.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,3,[3],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Zephyr v1.12.0/scripts/ci/check-compliance.py,blacklist,B405,LOW,HIGH,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",6,[6],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree
Zephyr v1.12.0/scripts/ci/check-compliance.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",64,"[63, 64]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
Zephyr v1.12.0/scripts/ci/check-compliance.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,82,[82],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
Zephyr v1.12.0/scripts/ci/check-compliance.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",86,"[84, 85, 86]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
Zephyr v1.12.0/scripts/dts/extract/globals.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",83,[83],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Zephyr v1.12.0/scripts/dts/extract_dts_includes.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,58,[58],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
Zephyr v1.12.0/scripts/dts/extract_dts_includes.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,774,[774],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
Zephyr v1.12.0/scripts/meta/west/cmake.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Zephyr v1.12.0/scripts/meta/west/cmake.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,33,[33],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
Zephyr v1.12.0/scripts/meta/west/cmd/run_common.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with CalledProcessError module.,10,[10],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Zephyr v1.12.0/scripts/meta/west/cmd/run_common.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,201,"[201, 202, 203]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Zephyr v1.12.0/scripts/meta/west/main.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with CalledProcessError module.,13,"[13, 14]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Zephyr v1.12.0/scripts/meta/west/runner/core.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,19,"[19, 20]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
Zephyr v1.12.0/scripts/meta/west/runner/core.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,94,[94],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
Zephyr v1.12.0/scripts/meta/west/runner/core.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,100,[100],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
