filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/auto_build.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,6,[6],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/auto_build.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",40,[40],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/auto_build.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",281,[281],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_filter_unittest.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,62,[62],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_filter_unittest.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,75,[75],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_test_utils.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,47,[47],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_test_utils.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,245,"[245, 246, 247]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_test_utils.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",275,[275],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_test_utils.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",277,[277],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_xml_outfiles_test.py,blacklist,B408,LOW,HIGH,"Using minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",37,"[37, 38]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b408-import-xml-minidom
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_xml_outfiles_test.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,118,[118],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-minidom
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_xml_outfiles_test.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,120,[120],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-minidom
TizenRT v1.1/TizenRT-1.1_Public_Release/external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest_xml_outfiles_test.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,122,[122],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-minidom
