filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with Popen module.,41,"[41, 42]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,303,[303],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,314,[314],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,435,"[435, 436]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",912,[912],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,948,"[948, 949]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,948,"[948, 949]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,1042,[1042],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,1045,[1045],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,1047,[1047],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
RIOT 2018.07/dist/tools/cc2538-bsl/cc2538-bsl.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1060,[1060],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/dist/tools/compile_test/compile_test.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with CalledProcessError module.,28,[28],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
RIOT 2018.07/dist/tools/compile_test/compile_test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,50,"[50, 51]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/dist/tools/compile_test/compile_test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,104,"[104, 105, 106, 107]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/dist/tools/compile_test/compile_test.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,117,[117],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
RIOT 2018.07/dist/tools/compile_test/compile_test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,117,[117],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/dist/tools/compile_test/compile_test.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",137,[137],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
RIOT 2018.07/dist/tools/compile_test/compile_test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,186,[186],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/dist/tools/mcuboot/imgtool/image.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,143,[143],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/dist/tools/mcuboot/imgtool/keys.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module SHA256 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
RIOT 2018.07/dist/tools/mcuboot/imgtool/keys.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,6,[6],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
RIOT 2018.07/dist/tools/mcuboot/imgtool/keys.py,blacklist,B413,HIGH,HIGH,The pyCrypto library and its module PKCS1_v1_5 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,7,[7],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b413-import-pycrypto
RIOT 2018.07/dist/tools/mcuboot/imgtool/keys.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,[73],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/dist/tools/pyterm/testbeds/testbeds.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with call module.,25,"[25, 26, 27]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
RIOT 2018.07/dist/tools/pyterm/testbeds/testbeds.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",68,[68],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
RIOT 2018.07/dist/tools/pyterm/testbeds/testbeds.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",156,[156],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
RIOT 2018.07/dist/tools/pyterm/testbeds/testbeds.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",158,"[157, 158]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
RIOT 2018.07/dist/tools/pyterm/testbeds/testbeds.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",171,[171],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
RIOT 2018.07/dist/tools/testrunner/testrunner.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
RIOT 2018.07/dist/tools/testrunner/testrunner.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,49,"[49, 50]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/doc/doxygen/generate-changelog.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,"[39, 40]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/evtimer_msg/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,[26],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/libfixmath/do-test.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,76,[76],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
RIOT 2018.07/tests/lwip/tests/01-run.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,51,[51],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,205,[205],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,229,[229],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,254,[254],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,284,[284],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,285,[285],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
RIOT 2018.07/tests/lwip/tests/01-run.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,286,[286],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
RIOT 2018.07/tests/mutex_order/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,[32],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,[33],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,[42],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/socket_zep/tests/01-run.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,43,[43],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
RIOT 2018.07/tests/warn_conflict/tests/01-make.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
RIOT 2018.07/tests/warn_conflict/tests/01-make.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,17,"[17, 18]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
